City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,qamdo,31.1667,97.2333,2.17,93,100,0.52,CN,1686714801
126,es castell,39.8795,4.2854,20.38,83,0,6.17,ES,1686714801
127,johvi,59.3592,27.4211,14.78,57,11,2.19,EE,1686714801
128,udachny,66.4167,112.4,19.14,29,100,1.9,RU,1686714801
129,chonchi,-42.6128,-73.8092,7.29,97,100,1.5,CL,1686714801
130,korla,41.7597,86.1469,34.35,13,37,5.57,CN,1686714801
131,colonia,50.9333,6.95,16.64,69,0,1.54,DE,1686714801
132,praia da vitoria,38.7333,-27.0667,20.14,83,20,4.68,PT,1686714801
133,ulsteinvik,62.3432,5.8487,13.51,84,13,0.89,NO,1686714801
134,apolinario saravia,-24.4328,-63.9954,6.43,51,0,2.03,AR,1686714802
135,bilibino,68.0546,166.4372,7.28,38,100,8.69,RU,1686714802
136,st. john's,47.5649,-52.7093,6.61,90,40,5.66,CA,1686714802
137,luderitz,-26.6481,15.1594,11.81,74,0,4.28,NA,1686714802
138,sinabang,2.4803,96.3801,30.0,61,80,2.2,ID,1686714802
139,afaahiti,-17.75,-149.2833,26.93,79,23,9.52,PF,1686714802
140,la grande,45.3246,-118.0877,18.87,67,98,3.45,US,1686714251
141,nuuk,64.1835,-51.7216,1.34,75,40,4.12,GL,1686714802
142,herkimer,43.0256,-74.986,15.01,93,14,0.45,US,1686714504
143,georgetown,5.4112,100.3354,30.96,100,40,1.54,MY,1686714803
144,taltal,-25.4,-70.4833,13.93,70,0,1.57,CL,1686714620
145,simenqian,27.4872,110.8861,26.1,61,100,1.5,CN,1686714803
146,ardestan,33.3761,52.3694,27.91,28,0,2.31,IR,1686714803
147,stanley,54.868,-1.6985,10.39,93,75,1.54,GB,1686714242
148,gouyave,12.1646,-61.7296,28.43,79,20,9.26,GD,1686714803
149,itoman,26.1247,127.6694,24.21,100,75,2.06,JP,1686714803
150,soio,-6.1349,12.3689,22.16,87,62,2.61,AO,1686714803
151,tolanaro,-25.0319,46.9987,15.04,94,40,0.0,MG,1686714803
152,ciamis,-7.3257,108.3534,25.1,88,98,1.65,ID,1686714804
153,anapa,44.8908,37.3239,20.2,93,40,2.0,RU,1686714629
154,acarau,-2.8856,-40.12,25.77,82,20,5.99,BR,1686714804
155,belmonte,-15.8631,-38.8828,22.67,83,6,1.69,BR,1686714804
156,mayya,61.7333,130.2811,8.62,83,100,4.95,RU,1686714804
157,codrington,-38.2667,141.9667,12.54,72,100,5.75,AU,1686714804
158,wuchuan,21.4571,110.7659,30.89,71,99,2.48,CN,1686714804
159,nahiyat ash shinafiyah,31.5874,44.6602,32.52,15,0,4.54,IQ,1686714804
160,stolin,51.8912,26.846,12.92,85,100,1.96,BY,1686714764
161,sho'rchi,38.0141,67.7899,33.69,20,0,2.53,UZ,1686714804
162,badger,64.8,-147.5333,17.14,51,100,9.77,US,1686714805
163,pitimbu,-7.4706,-34.8086,22.33,85,41,4.91,BR,1686714805
164,fonte boa,-2.4959,-66.2662,23.4,98,67,1.32,BR,1686714805
165,chauk,20.8833,94.8167,30.12,62,97,6.69,MM,1686714805
166,saynshand,44.8824,110.1163,31.64,9,2,7.99,MN,1686714805
167,cromer,52.9312,1.2989,13.0,89,2,5.89,GB,1686714805
168,igarka,67.4667,86.5833,7.73,63,94,3.57,RU,1686714805
169,le vauclin,14.5452,-60.8388,28.03,78,20,4.63,MQ,1686714805
170,kyren,51.6828,102.1408,23.25,41,27,1.04,RU,1686714805
171,bongouanou,6.6486,-4.1992,19.71,99,13,0.44,CI,1686714806
172,karratha,-20.7377,116.8463,26.24,23,0,6.12,AU,1686714806
173,ribeira grande,38.5167,-28.7,19.87,94,56,7.6,PT,1686714806
174,la passe,45.5549,-0.8967,19.43,87,30,3.33,FR,1686714806
175,alofi,-19.0595,-169.9187,18.94,94,100,1.54,NU,1686714806
176,hasaki,35.7333,140.8333,25.22,90,100,5.17,JP,1686714806
177,loango,-4.6719,11.8312,23.81,88,75,2.06,CG,1686714806
178,rio grande,-32.035,-52.0986,12.14,63,100,2.92,BR,1686714806
